movie_id,tmdb_id,imdb_id,title,original_title,adult,budget,genres,homepage,original_language,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,vote_average,vote_count
vexille+2007,13391,tt0970472,Vexille,ベクシル 2077日本鎖国,False,0,"Animation, Science Fiction, Action",null,ja,"2067: Isolation:  Japan seals herself off from the eyes of the world in the face of unilateral international policy setting strict limits on the use of robotic technology. The island nation exists only behind a veil of seclusion. No soul shall enter. No soul shall leave.  2077: Revelation:  The veil is breached. Japan is infiltrated by agents of the organization S.W.O.R.D., a fighting force operating outside of the protection of the United States and her allies. Their mission: Determine if the Japanese are developing banned robotic bio-technology, forbidden due to its threat to humankind. In the battle between machine and man, humanity stands to suffer most.",9.797201,/f2LlcsYL41tKKFaDA2qCCPnkDag.jpg,"Tokyo Broadcasting System (TBS), Avex Entertainment, Shochiku Company, Shogakukan Production, Oxybot, Yahoo Japan, Shogakukan, CCRE",Japan,2007-08-18,0,109,日本語,Released,6.8,53
the+color+of+milk+2004,10119,tt0425125,The Color of Milk,Ikke naken,False,0,"Comedy, Drama",null,no,"Selma's mother died giving birth to her, and Selma's step aunt is living proof that men only cause trouble. So the 11 year old girl makes a deal with her best friends that they will stay away from boys and dedicate their lives to science. And by the way, Selma was probably born on another planet and not meant to fall in love with anyone. But what happens when her friends break the pact, and she actually meets a boy who's not like the rest?",1.205013,/qA0a1joPRTueB0HOOqyPvRm2quu.jpg,,Norway,2004-08-27,0,94,Norsk,Released,5.0,2
the+kite+runner+2007,7979,tt0419887,The Kite Runner,The Kite Runner,False,20000000,Drama,http://www.kiterunnermovie.com/,en,"After spending years in California, Amir returns to his homeland in Afghanistan to help his old friend Hassan, whose son is in trouble.",5.970067,/dom2esWWW8C9jS2v7dOhW48LwHh.jpg,"DreamWorks SKG, MacDonald/Parkes Productions, Sidney Kimmel Entertainment, Neal Street Productions, China Film Co-Production Corporation, Wonderland Films, Participant Media, Ebeling Group, Beijing Happy Pictures Cultural Communications Co., Kite Runner Holdings","China, United States of America",2007-10-14,73276047,128,"English, Português, پښتو, Pусский, اردو",Released,7.3,405
scarecrows+1988,40168,tt0096046,Scarecrows,Scarecrows,False,425000,Horror,null,en,"Five men heist the Camp Pendleton payroll and kidnap a pilot and his daughter, who are forced to fly them to Mexico. Enroute a double cross has one of the thieves parachute with the loot into an abandoned graveyard surrounded by strange scarecrows. The rest of the team jump after their loot and their former partner. Everything happens during the course of one very dark night.",2.227278,/gBv0Dwr2AZiMOxeWzMj6071mbpG.jpg,Effigy Films,United States of America,1988-09-28,0,83,English,Released,5.4,37
the+lucky+ones+2008,16005,tt0981072,The Lucky Ones,The Lucky Ones,False,0,"Comedy, Drama, History",http://www.theluckyonesmovie.com/,en,"The story revolves around three soldiers — Colee, T.K. and Cheaver — who return from the Iraq War after suffering injuries and learn that life has moved on without them. They end up on an unexpected road trip across the U.S.",7.444398,/maTnxwsVodO3j2sXOta4aQk5wKt.jpg,,United States of America,2008-09-26,0,113,English,Released,6.3,55
wicker+park+2004,11208,tt0324554,Wicker Park,Wicker Park,False,30000000,"Drama, Mystery, Romance, Thriller",null,en,"Matthew, a young advertising executive in Chicago, puts his life and a business trip to China on hold when he thinks he sees Lisa, the love of his life who left him without a word two years earlier, walking out of a restaurant one day.",5.605652,/hAnpWtzF63Euilry4MNX2xyCKLM.jpg,"Lakeshore Entertainment, Metro-Goldwyn-Mayer (MGM), Mel's Cite du Cinema",United States of America,2004-09-03,13001257,114,English,Released,6.7,159
virginia+city+1940,17836,tt0033226,Virginia City,Virginia City,False,0,"Action, Western",null,en,"Union officer Kerry Bradford escapes from a Confederate prison and races to intercept $5 million in gold destined for Confederate coffers. A Confederate sympathizer and a Mexican bandit, each with their own stake in the loot, stand in his way.",0.833855,/wpyQi9LWHvxHnZj6sDZuppP015.jpg,Warner Bros.,United States of America,1940-03-23,0,121,English,Released,5.4,4
what+lies+beneath+2000,2655,tt0161081,What Lies Beneath,What Lies Beneath,False,100000000,"Drama, Horror, Mystery, Thriller",null,en,"When Claire Spencer starts hearing ghostly voices and seeing spooky images, she wonders if an otherworldly spirit is trying to contact her. All the while, her husband tries to reassure her by telling her it's all in her head. But as Claire investigates, she discovers that the man she loves might know more than he's letting on.",9.500497,/A1mrfm8LEv7L28q50ld8QI5z9Iu.jpg,"DreamWorks SKG, Twentieth Century Fox Film Corporation, ImageMovers",United States of America,2000-07-21,155464351,130,English,Released,6.3,504
the+possession+of+joel+delaney+1972,29491,tt0067601,The Possession of Joel Delaney,The Possession of Joel Delaney,False,1300000,Horror,null,en,Manhattan socialite begins to fear for her troubled younger brother when he starts behaving bizarrely and he seems to have been friends with a backstreet murderer.,1.413939,/yz5srcw3QPsSCnti1JWaOhrdxTe.jpg,"Paramount Pictures, Incorporated Television Company (ITC), Haworth Productions",United States of America,1972-05-24,0,105,English,Released,5.9,8
maniac+cop+2+1990,28090,tt0100107,Maniac Cop 2,Maniac Cop 2,False,4000000,"Horror, Thriller, Action",null,en,"A supernatural, maniac killer cop teams up with a Times Square serial killer.",2.412356,/wsgqF4PnIm64H6c34A070GcwM08.jpg,"Overseas FilmGroup, Medusa Pictures, The Movie House Sales Company, Fadd Enterprises",United States of America,1990-12-13,0,90,English,Released,5.3,42
